2D	Two-dimensional
AAG	Astronomy and Astrophysics Research Grants, an NSF program
AAS	American Astronomical Society
ACGIH	American Conference of Governmental Industrial Hygienists
ADS	Astrophysics Data System
AI	Artificial Intelligence, used to cover many machine learning algorithms
AJ	The Astronomical Journal
ALMA	Atacama Large Millimeter Array (ESO)
AMCL	AURA Management Council for LSST
APC	activities, projects, or state of the profession considerations - wrt. the decadal survey
API	Application Programming Interface.  Usually this is either "web API" (meaning how you access/update data via http) or "software API" (meaning how you call the function/class/etc in a particular programming language or library), although often only "API" is used and the prefix is implicit.
APL	Apache Public License
ATLAS	The Asteroid Terrestrial-impact Last Alert System
AU	deprecated acronym for astronomical unit; use au instead
AURA	Association of Universities for Research in Astronomy
AWS	Amazon Web Services, one of the largest cloud computing providers.
Authentication	The action of showing who you are and an person, mission, or other entity
Authorization	The action of allowing an authorized or anonymous entity access to data or services
B	Byte (8 bit)
CAOM	Common Archive Observation Model \url{http://www.opencadc.org/caom2/}
CAS	Central Administrative Services
CC	Change Control
CC-IN2P3	Centre de Calcul de l'IN2P3
CCB	Change Control Board
CCD	Charge-Coupled Device
CEC	International in-kind Contribution Evaluation Committee
CERN	European Organization for Nuclear Research
CI	cyberinfrastructure
CMB	Cosmic Microwave Background
CS	Computer Science
CSSI	Cyberinfrastructure for Sustained Scientific Innovation  \url{https://www.nsf.gov/pubs/2019/nsf19548/nsf19548.htm}
CTA	Cherenkov Telescope Array \url{https://www.cta-observatory.org/}
CTIO	Cerro Tololo Inter-American Observatory
Citizen Science	- Amanda, Arfon, Meg?,
Commodity Computing	Computing bought off the shelf not specific for astronomy, could be infrastructure as a service (ias) bough from a cloud vendor.
Container	- Niall Gaffney
DAC	Data Access Center
DAQ	Data Acquisition System
DES	Dark Energy Survey
DESI	Dark Energy Spectroscopic Instrument
DIA	Difference Image Analysis
DIBBs	Data Infrastructure Building Blocks
DKIST	Daniel K. Inouye Solar Telescope (formerly the Advanced Technology Solar Telescope, ATST)
DM	Data Management
DMCS	Data Management Control System
DMS	Data Management Subsystem
DMTN	DM Technical Note
DNN	Deep Neural Network
DOE	Department of Energy
DOI	Digital Object Identifier \url{https://www.doi.org/}
DP1	Data Preview One
DP2	Data Preview Two
DPAC	Data Processing and Analysis Consortium (Gaia)
DPDD	Data Product Definition Document
DR	Data Release
DRP	Data Release Production
DVCS	Distributed Version Control System, a form of version control where the complete codebase - including its full history - is mirrored on every developer's computer
DWDM	Dense Wave Division Multiplex
Docker	A popular implementation of container technology.
EFD	Engineering and Facility Database
ELT	Extremely Large Telescope
EPO	Education and Public Outreach
ESA	European Space Agency
EU	European Union
FITS	Flexible Image Transport System,  is an open standard defining a digital file format useful for storage, transmission and processing of data. Files are formatted as tables or 2D images
FIU	Florida International University
FORCE11	FORCE11 is a community of scholars, librarians, archivists, publishers and research funders interested in the Future of Research Communications and e-Scholarship
FPGA	Field Programmable Gate Array, an integrated circuit which is fairly easily configurable.
FTE	Full-Time Equivalent
GNU	GNU's Not Unix! An operating system and an extensive collection of free computer software
GPL	GNU Public License
GW	Gravity Wave
Gb	Gigabit
HEP	 High Energy Physics
HPC	High Performance Computing
HTC	High Throughput  Computing
HTML	HyperText Markup Language
I\&T	Integration and Test
IAM	Identity and Access Management
IAU	International Astronomical Union
IDL	Interactive Data Language, a programming language used for data analysis. Harris Geospatial \footnote{\url{https://www.harrisgeospatial.com/Software-Technology/IDL}}
IN2P3	Institut National de Physique Nucléaire et de Physique des Particules
IPAC	No longer an acronym; science and data center at Caltech
IR	Infra Red
IRAF	Image Reduction and Analysis Facility,  a collection of software written at the National Optical Astronomy Observatory (NOAO) geared towards the reduction of astronomical images in pixel array form.
IRSA	Infrared Science Archive
ISO	International Standards Organisation
ISR	Instrument Signal Removal
IT	Information Technology
ITAR	International Traffic in Arms Regulations
ITC	Information Technology Center
IUSE	Improving Undergraduate STEM Education
IaS	Infrastructure as a Service
JOG	Joint Oversight Group
JWST	James Webb Space Telescope (formerly known as NGST)
K8S	Kubernetes provisioning system
LDF	LSST Data Facility
LDM	LSST Data Management (Document Handle)
